year,pick,team,player,position,link
1990,15,MIA,Dave Jamerson,Shooting,https://www.basketball-reference.com//players/j/jamerda01.html
1990,16,MIL,Terry Mills,Power,https://www.basketball-reference.com//players/m/millste01.html
1990,17,NYK,Jerrod Mustaf,Power,https://www.basketball-reference.com//players/m/mustaje01.html
1990,18,SAC,Duane Causwell,Center,https://www.basketball-reference.com//players/c/causwdu01.html
1990,19,BOS,Dee Brown,Point,https://www.basketball-reference.com//players/b/brownde01.html
1990,20,MIN,Gerald Glass,Small,https://www.basketball-reference.com//players/g/glassge01.html
1990,21,PHO,Jayson Williams,Power,https://www.basketball-reference.com//players/w/willija01.html
1990,22,NJN,Tate George,Shooting,https://www.basketball-reference.com//players/g/georgta01.html
1990,23,SAC,Anthony Bonner,Power,https://www.basketball-reference.com//players/b/bonnean01.html
1990,24,SAS,Dwayne Schintzius,Center,https://www.basketball-reference.com//players/s/schindw01.html
1990,25,POR,Alaa Abdelnaby,Power,https://www.basketball-reference.com//players/a/abdelal01.html
1990,26,DET,Lance Blanks,Shooting,https://www.basketball-reference.com//players/b/blankla01.html
1990,27,LAL,Elden Campbell,Power,https://www.basketball-reference.com//players/c/campbel01.html
1990,28,GSW,Les Jepsen,Center,https://www.basketball-reference.com//players/j/jepsele01.html
1990,29,CHI,Toni Kukoč,Small,https://www.basketball-reference.com//players/k/kukocto01.html
1990,30,MIA,Carl Herrera,Power,https://www.basketball-reference.com//players/h/herreca01.html
1990,31,PHO,Negele Knight,Point,https://www.basketball-reference.com//players/k/knighne01.html
1990,32,PHI,Brian Oliver,Shooting,https://www.basketball-reference.com//players/o/olivebr01.html
1990,33,UTA,Walter Palmer,Center,https://www.basketball-reference.com//players/p/palmewa01.html
1990,34,GSW,Kevin Pritchard,Point,https://www.basketball-reference.com//players/p/pritcke01.html
1990,35,WSB,Greg Foster,Power,https://www.basketball-reference.com//players/f/fostegr01.html
1990,36,ATL,Trevor Wilson,Power,https://www.basketball-reference.com//players/w/wilsotr01.html
1990,37,WSB,A.J. English,Shooting,https://www.basketball-reference.com//players/e/engliaj01.html
1990,38,SEA,Jud Buechler,Small,https://www.basketball-reference.com//players/b/buechju01.html
1990,39,CHH,Steve Scheffler,Center,https://www.basketball-reference.com//players/s/schefst01.html
1990,40,SAC,Bimbo Coles,Point,https://www.basketball-reference.com//players/c/colesbi01.html
1990,41,ATL,Steve Bardo,Shooting,https://www.basketball-reference.com//players/b/bardost01.html
1990,42,DEN,Marcus Liberty,Small,https://www.basketball-reference.com//players/l/liberma01.html
1990,43,SAS,Tony Massenburg,Power,https://www.basketball-reference.com//players/m/masseto01.html
