Year,Pick,Team,Player,Position
1993,39,IND,Thomas Hill,Unknown
1993,40,ATL,Rich Manning,Power
1993,41,CHI,Anthony Reed,Unknown
1993,42,SEA,Adonis Jordan,Point
1993,43,DEN,Josh Grant,Power
1993,44,SAC,Alex Holcombe,Unknown
1993,45,UTA,Bryon Russell,Small
1993,46,HOU,Richard Petruška,Center
1993,47,SAS,Chris Whitney,Point
1993,48,POR,Kevin Thompson,Center
1993,49,PHO,Mark Buford,Unknown
1993,50,HOU,Marcelo Nicola,Unknown
1993,51,IND,Spencer Dunkley,Unknown
1993,52,SAC,Mike Peplowski,Center
1993,53,LAC,Leonard White,Unknown
1993,54,PHO,Byron Wilson,Unknown
1994,1,MIL,Glenn Robinson,Small
1994,2,DAL,Jason Kidd,Point
1994,3,DET,Grant Hill,Small
1994,4,MIN,Donyell Marshall,Power
1994,5,WSB,Juwan Howard,Power
1994,6,PHI,Sharone Wright,Center
1994,7,LAC,Lamond Murray,Small
1994,8,SAC,Brian Grant,Power
1994,9,BOS,Eric Montross,Center
1994,10,LAL,Eddie Jones,Shooting
1994,11,SEA,Carlos Rogers,Power
1994,12,MIA,Khalid Reeves,Point
1994,13,DEN,Jalen Rose,Small
1994,14,NJN,Yinka Dare,Center
1994,15,IND,Eric Piatkowski,Shooting
1994,16,GSW,Clifford Rozier,Center
1994,17,POR,Aaron McKie,Shooting
1994,18,MIL,Eric Mobley,Center
1994,19,DAL,Tony Dumas,Shooting
1994,20,PHI,B.J. Tyler,Point
1994,21,CHI,Dickey Simpkins,Power
1994,22,SAS,Bill Curley,Power
1994,23,PHO,Wesley Person,Shooting
1994,24,NYK,Monty Williams,Small
1994,25,LAC,Greg Minor,Shooting
1994,26,NYK,Charlie Ward,Point
1994,27,ORL,Brooks Thompson,Point
1994,28,DAL,Deon Thomas,Unknown
1994,29,PHO,Antonio Lang,Small
1994,30,MIN,Howard Eisley,Point
1994,31,ORL,Rodney Dent,Unknown
1994,32,WSB,Jim McIlvaine,Center
1994,33,PHI,Derrick Alston,Center
1994,34,ATL,Gaylon Nickerson,Shooting
1994,35,SAC,Michael Smith,Power
1994,36,BOS,Andrei Fetisov,Unknown
1994,37,SEA,Dontonio Wingfield,Small
1994,38,CHH,Darrin Hancock,Small
1994,39,GSW,Anthony Miller,Power
1994,40,MIA,Jeff Webster,Small
1994,41,IND,William Njoku,Unknown
1994,42,CLE,Gary Collier,Unknown
1994,43,POR,Shawnelle Scott,Center
1994,44,IND,Damon Bailey,Unknown
1994,45,GSW,Dwayne Morton,Point
1994,46,MIL,Voshon Lenard,Shooting
1994,47,UTA,Jamie Watson,Small
1994,48,DET,Jevon Crudup,Unknown
1994,49,CHI,Kris Bruton,Unknown
1994,50,PHO,Charles Claxton,Center
1994,51,SAC,Lawrence Funderburke,Power
