season,age,team_id,lg_id,pos,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,link,all_star
1996,27.0,PHI,NBA,SF,37.0,2.0,19.8,4.4,9.9,0.447,0.3,1.0,0.316,4.1,8.8,0.462,0.46299999999999997,1.7,2.6,0.66,1.1,2.7,3.8,1.0,0.3,0.3,1.3,1.9,10.9,https://www.basketball-reference.com//players/m/macledo01.html,0.0
1997,28.0,NJN,NBA,SF,9.0,0.0,4.7,0.1,1.1,0.1,0.1,0.2,0.5,0.0,0.9,0.0,0.15,0.0,0.0,,0.3,0.2,0.6,0.0,0.0,0.0,0.2,0.8,0.3,https://www.basketball-reference.com//players/m/macledo01.html,0.0
1998,29.0,SEA,NBA,PF,17.0,10.0,21.5,3.7,9.4,0.396,0.5,1.9,0.273,3.2,7.4,0.429,0.425,2.9,4.7,0.625,1.1,2.8,3.8,0.9,0.3,0.3,1.5,2.0,10.9,https://www.basketball-reference.com//players/m/macledo01.html,0.0
1999,30.0,PHO,NBA,PF,16.0,0.0,8.9,1.1,3.1,0.36700000000000005,0.1,0.4,0.33299999999999996,1.0,2.7,0.37200000000000005,0.38799999999999996,0.3,0.4,0.667,0.4,1.1,1.4,0.5,0.1,0.1,0.5,1.5,2.6,https://www.basketball-reference.com//players/m/macledo01.html,0.0
2000,31.0,MIA,NBA,SF,8.0,1.0,9.5,1.3,2.5,0.5,0.3,0.3,1.0,1.0,2.3,0.444,0.55,1.1,1.5,0.75,0.9,1.4,2.3,0.5,0.6,0.1,1.3,1.1,3.9,https://www.basketball-reference.com//players/m/macledo01.html,0.0
1992,22.0,NYK,NBA,SG,50.0,2.0,16.3,2.2,5.0,0.43799999999999994,0.1,0.4,0.316,2.1,4.6,0.44799999999999995,0.45,0.9,1.1,0.7959999999999999,0.3,0.9,1.1,1.7,0.4,0.1,0.9,1.4,5.4,https://www.basketball-reference.com//players/d/davishu01.html,0.0
1993,23.0,NYK,NBA,SG,56.0,27.0,23.8,4.3,9.0,0.47100000000000003,0.9,2.4,0.402,3.3,6.7,0.496,0.524,1.5,1.8,0.825,0.4,0.8,1.2,2.9,0.7,0.1,1.4,2.1,11.0,https://www.basketball-reference.com//players/d/davishu01.html,0.0
1994,24.0,NYK,NBA,SG,82.0,4.0,20.7,3.6,7.5,0.48,1.6,3.5,0.455,2.0,4.0,0.502,0.586,1.2,1.5,0.8079999999999999,0.4,1.0,1.3,1.8,0.4,0.1,1.1,1.8,10.0,https://www.basketball-reference.com//players/d/davishu01.html,0.0
1995,25.0,NYK,NBA,SG,74.0,14.0,24.0,3.7,7.6,0.486,1.7,3.6,0.47600000000000003,2.0,4.0,0.495,0.598,1.5,1.7,0.868,0.5,1.2,1.7,1.4,0.4,0.1,0.9,1.6,10.7,https://www.basketball-reference.com//players/d/davishu01.html,0.0
1996,26.0,TOR,NBA,SG,36.0,0.0,17.3,2.1,5.1,0.402,0.4,1.9,0.22899999999999998,1.6,3.2,0.509,0.446,0.5,0.6,0.7390000000000001,0.3,0.8,1.1,0.9,0.3,0.1,0.6,1.1,5.0,https://www.basketball-reference.com//players/d/davishu01.html,0.0
1997,27.0,DAL,NBA,SG,81.0,30.0,29.4,4.3,9.5,0.456,1.2,2.8,0.439,3.1,6.6,0.46399999999999997,0.522,1.2,1.4,0.836,0.4,1.7,2.1,1.9,0.5,0.1,1.1,1.4,11.1,https://www.basketball-reference.com//players/d/davishu01.html,0.0
1998,28.0,DAL,NBA,SG,50.0,21.0,27.6,3.5,7.9,0.43799999999999994,1.3,2.9,0.451,2.2,5.1,0.431,0.52,0.9,1.0,0.88,0.1,1.7,1.7,1.8,0.4,0.1,1.1,1.5,9.1,https://www.basketball-reference.com//players/d/davishu01.html,0.0
1999,29.0,DAL,NBA,PG,79.0,15.0,23.0,2.7,5.9,0.46799999999999997,1.0,2.1,0.491,1.7,3.8,0.455,0.556,0.8,1.0,0.87,0.2,1.5,1.7,1.8,0.3,0.0,0.9,1.4,7.4,https://www.basketball-reference.com//players/d/davishu01.html,0.0
2000,30.0,TOT,NBA,PG,66.0,18.0,25.6,3.0,6.6,0.45299999999999996,1.2,2.6,0.456,1.8,4.0,0.45,0.5429999999999999,0.8,0.9,0.871,0.4,1.7,2.1,1.7,0.5,0.0,1.2,1.8,7.9,https://www.basketball-reference.com//players/d/davishu01.html,0.0
2001,31.0,WAS,NBA,SG,51.0,17.0,24.1,2.9,6.4,0.44799999999999995,1.1,2.5,0.452,1.7,3.9,0.445,0.535,0.3,0.4,0.762,0.1,1.4,1.5,2.1,0.5,0.1,0.9,1.1,7.2,https://www.basketball-reference.com//players/d/davishu01.html,0.0
2002,32.0,DET,NBA,SG,43.0,1.0,7.6,0.7,1.8,0.392,0.3,0.8,0.33299999999999996,0.4,1.0,0.442,0.46799999999999997,0.1,0.1,0.833,0.1,0.7,0.8,0.7,0.1,0.0,0.3,0.5,1.8,https://www.basketball-reference.com//players/d/davishu01.html,0.0
2003,33.0,TOT,NBA,SG,17.0,0.0,4.6,0.1,0.6,0.091,0.0,0.1,0.0,0.1,0.6,0.1,0.091,0.1,0.1,1.0,0.1,0.4,0.5,0.2,0.1,0.0,0.2,0.7,0.2,https://www.basketball-reference.com//players/d/davishu01.html,0.0
1992,23.0,MIL,NBA,SG,47.0,0.0,11.7,1.6,4.4,0.369,0.4,1.3,0.33299999999999996,1.2,3.0,0.385,0.42,0.7,1.0,0.6729999999999999,0.2,0.7,0.9,1.4,0.7,0.1,0.9,1.2,4.4,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
1993,24.0,MIL,NBA,SG,72.0,7.0,17.3,2.2,5.3,0.414,0.4,1.6,0.278,1.8,3.7,0.47200000000000003,0.455,1.3,1.7,0.795,0.5,1.5,2.0,2.3,1.4,0.2,1.2,1.5,6.2,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
1994,25.0,MIL,NBA,SG,52.0,0.0,11.6,1.1,2.6,0.425,0.3,0.9,0.33299999999999996,0.8,1.7,0.47700000000000004,0.485,1.2,1.5,0.763,0.3,0.7,0.9,1.6,0.6,0.1,0.8,1.0,3.7,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
1995,26.0,GSW,NBA,SG,68.0,0.0,10.5,1.3,2.7,0.49200000000000005,0.6,1.4,0.473,0.7,1.4,0.511,0.611,0.5,0.5,0.838,0.3,0.7,0.9,1.3,0.5,0.2,0.6,0.8,3.8,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
1996,27.0,ATL,NBA,SG,58.0,8.0,16.6,1.7,4.2,0.40700000000000003,0.8,2.1,0.387,0.9,2.1,0.426,0.504,0.6,0.8,0.804,0.4,1.3,1.7,2.0,0.9,0.1,1.0,1.0,4.9,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
1997,28.0,LAL,NBA,SG,49.0,1.0,7.6,0.8,2.1,0.365,0.4,1.2,0.295,0.4,0.9,0.465,0.452,0.6,0.6,0.9309999999999999,0.2,0.6,0.8,1.0,0.5,0.1,0.4,0.7,2.5,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
1998,29.0,SAC,NBA,SG,43.0,0.0,17.1,1.4,3.2,0.428,0.6,1.8,0.304,0.8,1.4,0.593,0.514,1.7,2.0,0.845,0.6,1.7,2.2,2.6,1.2,0.1,1.1,1.4,5.0,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
1999,30.0,SAC,NBA,SG,62.0,1.0,20.7,2.6,5.6,0.465,1.1,2.5,0.429,1.5,3.1,0.495,0.561,1.7,1.9,0.922,0.6,2.0,2.6,2.4,1.2,0.1,1.4,1.7,8.0,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
2000,31.0,SAC,NBA,SG,62.0,2.0,16.3,1.7,4.1,0.40399999999999997,0.7,2.1,0.348,0.9,2.0,0.46299999999999997,0.494,1.0,1.2,0.877,0.3,1.3,1.5,2.1,0.5,0.1,0.9,1.1,5.1,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
2001,32.0,DET,NBA,SG,82.0,6.0,24.2,3.1,6.4,0.489,1.5,3.1,0.469,1.6,3.2,0.508,0.604,1.3,1.4,0.9309999999999999,0.5,2.3,2.9,3.3,1.1,0.2,1.4,1.6,9.0,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
2002,33.0,DET,NBA,SG,80.0,0.0,18.4,2.4,5.3,0.45,1.1,2.7,0.40700000000000003,1.3,2.6,0.495,0.5529999999999999,1.1,1.3,0.86,0.4,1.8,2.3,2.6,0.8,0.2,1.0,1.3,6.9,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
2003,34.0,DEN,NBA,SG,57.0,9.0,19.3,2.1,5.2,0.40399999999999997,0.9,2.4,0.37,1.2,2.8,0.434,0.49,1.1,1.2,0.845,0.4,1.7,2.2,2.6,1.0,0.1,0.9,1.2,6.2,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
2004,35.0,TOT,NBA,SG,69.0,2.0,21.8,2.3,5.3,0.43799999999999994,1.0,2.4,0.43,1.3,2.9,0.44299999999999995,0.534,0.9,1.0,0.873,0.4,1.9,2.3,2.4,0.9,0.1,1.0,1.4,6.6,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
2005,36.0,HOU,NBA,SG,20.0,0.0,17.1,1.3,3.3,0.385,0.6,1.6,0.375,0.7,1.7,0.39399999999999996,0.47700000000000004,1.2,1.5,0.828,0.1,1.5,1.6,1.3,0.7,0.1,1.1,1.3,4.3,https://www.basketball-reference.com//players/b/barryjo01.html,0.0
1992,22.0,PHO,NBA,C,56.0,1.0,19.1,2.2,4.6,0.475,0.0,0.1,0.0,2.2,4.5,0.48,0.475,1.3,1.8,0.71,1.3,3.7,4.9,2.1,0.7,1.8,1.9,2.6,5.6,https://www.basketball-reference.com//players/m/milleol01.html,0.0
1993,23.0,PHO,NBA,C,69.0,30.0,25.9,4.0,6.6,0.609,0.0,0.1,0.222,4.0,6.5,0.617,0.611,1.2,2.0,0.584,2.0,4.9,6.9,3.5,1.2,2.3,2.4,3.3,9.2,https://www.basketball-reference.com//players/m/milleol01.html,0.0
1994,24.0,DET,NBA,PF,64.0,22.0,24.3,3.6,6.5,0.555,0.0,0.2,0.231,3.6,6.3,0.565,0.5589999999999999,1.2,1.9,0.629,2.5,4.9,7.4,1.5,0.9,1.8,1.8,3.4,8.5,https://www.basketball-reference.com//players/m/milleol01.html,0.0
1995,25.0,TOR,NBA,PF,76.0,72.0,33.1,5.5,10.5,0.526,0.0,0.1,0.0,5.5,10.3,0.5329999999999999,0.526,1.9,2.9,0.6609999999999999,2.3,5.1,7.4,2.9,1.4,1.9,2.7,3.6,12.9,https://www.basketball-reference.com//players/m/milleol01.html,0.0
1996,26.0,TOT,NBA,C,61.0,8.0,18.9,2.0,3.9,0.517,0.0,0.0,0.0,2.0,3.9,0.521,0.517,0.8,1.3,0.608,1.7,3.3,5.0,1.4,0.8,1.0,1.5,3.0,4.8,https://www.basketball-reference.com//players/m/milleol01.html,0.0
1997,27.0,TOR,NBA,C,64.0,53.0,25.4,2.7,5.8,0.461,0.0,0.1,0.0,2.7,5.7,0.466,0.461,1.0,1.6,0.604,2.3,4.0,6.3,3.1,0.9,1.1,2.0,2.9,6.3,https://www.basketball-reference.com//players/m/milleol01.html,0.0
1998,28.0,SAC,NBA,C,4.0,0.0,8.8,1.3,2.8,0.455,0.0,0.0,,1.3,2.8,0.455,0.455,0.0,0.0,,1.8,0.3,2.0,0.0,0.0,0.5,1.0,0.8,2.5,https://www.basketball-reference.com//players/m/milleol01.html,0.0
1999,29.0,PHO,NBA,C,51.0,9.0,21.3,2.7,4.6,0.588,0.0,0.0,,2.7,4.6,0.588,0.588,1.0,1.4,0.6709999999999999,1.7,3.4,5.1,1.3,0.8,1.6,1.5,2.6,6.3,https://www.basketball-reference.com//players/m/milleol01.html,0.0
2003,33.0,MIN,NBA,C,48.0,1.0,10.5,1.1,2.1,0.53,0.0,0.0,0.0,1.1,2.1,0.535,0.53,0.3,0.5,0.652,1.0,1.8,2.7,0.8,0.4,0.5,0.7,1.9,2.5,https://www.basketball-reference.com//players/m/milleol01.html,0.0
1992,22.0,MIL,NBA,PG,82.0,4.0,18.3,2.1,4.6,0.456,0.5,1.3,0.391,1.6,3.2,0.483,0.513,0.5,0.8,0.574,0.3,1.1,1.4,3.3,0.7,0.1,1.0,1.8,5.2,https://www.basketball-reference.com//players/m/maybele01.html,0.0
1993,23.0,MIL,NBA,PG,82.0,6.0,18.0,2.0,4.9,0.415,0.5,1.5,0.345,1.5,3.5,0.445,0.466,0.7,1.0,0.69,0.3,0.9,1.2,2.6,0.6,0.0,1.2,1.4,5.3,https://www.basketball-reference.com//players/m/maybele01.html,0.0
1994,24.0,MIL,NBA,PG,82.0,50.0,21.3,2.1,5.0,0.42200000000000004,0.9,2.2,0.40700000000000003,1.2,2.8,0.433,0.51,0.7,1.0,0.6990000000000001,0.3,0.7,1.0,3.4,0.6,0.0,1.3,1.5,5.8,https://www.basketball-reference.com//players/m/maybele01.html,0.0
1995,25.0,MIL,NBA,PG,82.0,20.0,20.8,1.9,4.4,0.42,0.9,2.3,0.397,1.0,2.1,0.446,0.523,0.5,0.8,0.603,0.3,0.8,1.1,3.7,0.8,0.1,1.1,1.8,5.1,https://www.basketball-reference.com//players/m/maybele01.html,0.0
1996,26.0,VAN,NBA,PG,80.0,38.0,24.4,1.9,4.6,0.40299999999999997,1.0,2.8,0.376,0.8,1.9,0.44299999999999995,0.515,0.4,0.6,0.63,0.4,1.3,1.7,4.1,0.8,0.1,1.1,2.0,5.1,https://www.basketball-reference.com//players/m/maybele01.html,0.0
1997,27.0,VAN,NBA,PG,79.0,32.0,23.2,1.7,4.4,0.375,0.8,2.3,0.35,0.9,2.1,0.402,0.466,0.5,0.6,0.745,0.2,1.2,1.4,4.4,0.8,0.1,1.4,2.1,4.6,https://www.basketball-reference.com//players/m/maybele01.html,0.0
1998,28.0,VAN,NBA,PG,9.0,0.0,14.0,0.8,2.1,0.368,0.2,1.1,0.2,0.6,1.0,0.556,0.42100000000000004,0.4,0.6,0.8,0.0,0.3,0.3,2.6,0.8,0.0,1.2,1.4,2.2,https://www.basketball-reference.com//players/m/maybele01.html,0.0
1992,22.0,GSW,NBA,SG,77.0,69.0,35.6,5.8,12.6,0.46399999999999997,0.9,2.6,0.369,4.9,10.0,0.488,0.502,2.7,3.7,0.746,1.0,2.5,3.5,3.8,1.6,0.7,2.6,2.2,15.4,https://www.basketball-reference.com//players/s/sprewla01.html,0.0
1993,23.0,GSW,NBA,SG,82.0,82.0,43.1,7.5,17.3,0.433,1.7,4.8,0.361,5.8,12.5,0.46,0.48200000000000004,4.3,5.6,0.774,1.0,3.9,4.9,4.7,2.2,0.9,2.8,1.9,21.0,https://www.basketball-reference.com//players/s/sprewla01.html,1.0
1994,24.0,GSW,NBA,SG,69.0,69.0,40.2,7.1,17.0,0.418,1.3,4.7,0.276,5.8,12.2,0.473,0.457,5.1,6.5,0.7809999999999999,0.8,2.9,3.7,4.0,1.6,0.7,3.3,1.6,20.6,https://www.basketball-reference.com//players/s/sprewla01.html,1.0
1995,25.0,GSW,NBA,SG,78.0,78.0,39.3,6.6,15.4,0.428,1.2,3.6,0.32299999999999995,5.4,11.8,0.461,0.466,4.5,5.7,0.789,1.6,3.3,4.9,4.2,1.6,0.6,2.8,1.9,18.9,https://www.basketball-reference.com//players/s/sprewla01.html,0.0
1996,26.0,GSW,NBA,SG,80.0,79.0,41.9,8.1,18.1,0.449,1.8,5.2,0.354,6.3,12.9,0.488,0.5,6.2,7.3,0.843,0.7,3.9,4.6,6.3,1.7,0.6,4.0,1.9,24.2,https://www.basketball-reference.com//players/s/sprewla01.html,1.0
1997,27.0,GSW,NBA,SG,14.0,13.0,39.1,7.9,19.8,0.397,0.6,3.4,0.188,7.2,16.4,0.441,0.413,5.0,6.7,0.745,0.5,3.1,3.6,4.9,1.4,0.4,3.1,1.9,21.4,https://www.basketball-reference.com//players/s/sprewla01.html,0.0
1998,28.0,NYK,NBA,SF,37.0,4.0,33.3,5.8,14.0,0.415,0.6,2.1,0.273,5.2,11.9,0.44,0.435,4.2,5.2,0.812,1.1,3.1,4.2,2.5,1.2,0.1,2.1,1.8,16.4,https://www.basketball-reference.com//players/s/sprewla01.html,0.0
1999,29.0,NYK,NBA,SF,82.0,82.0,40.0,6.9,15.9,0.435,0.5,1.5,0.34600000000000003,6.4,14.4,0.445,0.452,4.2,4.8,0.866,0.6,3.7,4.3,4.0,1.3,0.3,2.8,2.2,18.6,https://www.basketball-reference.com//players/s/sprewla01.html,0.0
2000,30.0,NYK,NBA,SF,77.0,77.0,39.2,6.8,15.8,0.43,0.5,1.8,0.304,6.3,14.1,0.446,0.447,3.6,4.6,0.7829999999999999,0.6,3.9,4.5,3.5,1.4,0.4,2.8,2.1,17.7,https://www.basketball-reference.com//players/s/sprewla01.html,1.0
2001,31.0,NYK,NBA,SF,81.0,81.0,41.1,7.1,17.5,0.40399999999999997,1.8,5.0,0.36,5.3,12.5,0.42100000000000004,0.455,3.5,4.3,0.821,0.7,3.0,3.7,3.9,1.2,0.2,2.8,2.0,19.4,https://www.basketball-reference.com//players/s/sprewla01.html,0.0
2002,32.0,NYK,NBA,SF,74.0,73.0,38.6,6.1,15.2,0.40299999999999997,1.8,4.9,0.37200000000000005,4.3,10.4,0.41700000000000004,0.462,2.3,2.9,0.794,0.6,3.2,3.9,4.5,1.4,0.3,2.3,1.8,16.4,https://www.basketball-reference.com//players/s/sprewla01.html,0.0
2003,33.0,MIN,NBA,SF,82.0,82.0,37.8,6.3,15.4,0.409,1.2,3.6,0.331,5.1,11.8,0.433,0.44799999999999995,2.9,3.6,0.8140000000000001,0.7,3.1,3.8,3.5,1.1,0.3,1.9,1.2,16.8,https://www.basketball-reference.com//players/s/sprewla01.html,0.0
2004,34.0,MIN,NBA,SF,80.0,79.0,30.6,5.0,12.0,0.414,0.9,2.6,0.327,4.1,9.4,0.439,0.45,2.0,2.4,0.83,0.8,2.4,3.2,2.2,0.7,0.3,1.6,1.6,12.8,https://www.basketball-reference.com//players/s/sprewla01.html,0.0
1992,23.0,LAC,NBA,C,44.0,4.0,6.4,1.0,1.9,0.537,0.0,0.0,,1.0,1.9,0.537,0.537,0.4,0.7,0.5,0.4,1.0,1.4,0.2,0.2,0.4,0.6,1.2,2.4,https://www.basketball-reference.com//players/s/spencel01.html,0.0
1993,24.0,LAC,NBA,C,76.0,63.0,25.4,3.8,7.1,0.5329999999999999,0.0,0.0,0.0,3.8,7.1,0.535,0.5329999999999999,1.3,2.1,0.599,1.3,4.2,5.5,1.0,0.4,1.7,2.2,2.7,8.9,https://www.basketball-reference.com//players/s/spencel01.html,0.0
1994,25.0,LAC,NBA,C,19.0,8.0,19.4,2.7,6.2,0.441,0.0,0.1,0.0,2.7,6.2,0.444,0.441,1.5,2.6,0.56,0.6,2.8,3.4,1.3,0.7,1.2,2.5,3.3,6.9,https://www.basketball-reference.com//players/s/spencel01.html,0.0
1995,26.0,TOT,NBA,C,17.0,0.0,3.4,0.3,0.8,0.385,0.0,0.0,,0.3,0.8,0.385,0.385,0.2,0.4,0.667,0.2,0.6,0.8,0.1,0.0,0.1,0.4,0.7,0.8,https://www.basketball-reference.com//players/s/spencel01.html,0.0
1996,27.0,SEA,NBA,C,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,https://www.basketball-reference.com//players/s/spencel01.html,0.0
1992,22.0,POR,NBA,SG,42.0,0.0,8.5,1.4,3.5,0.38299999999999995,0.1,0.3,0.214,1.3,3.2,0.4,0.39299999999999996,1.0,1.4,0.6779999999999999,0.4,0.7,1.1,0.3,0.2,0.0,0.7,0.5,3.7,https://www.basketball-reference.com//players/j/johnsda01.html,0.0
1993,23.0,CHI,NBA,SG,17.0,0.0,7.0,1.0,3.2,0.315,0.0,0.1,0.0,1.0,3.1,0.321,0.315,0.8,1.2,0.619,0.5,0.4,0.9,0.2,0.2,0.0,0.5,0.4,2.8,https://www.basketball-reference.com//players/j/johnsda01.html,0.0
1992,23.0,GSW,NBA,PF,79.0,8.0,16.1,1.8,4.1,0.446,0.0,0.1,0.28600000000000003,1.8,4.0,0.45,0.449,1.6,2.5,0.665,1.5,2.5,4.0,0.9,0.6,0.5,1.1,3.2,5.3,https://www.basketball-reference.com//players/h/houstby01.html,0.0
1993,24.0,GSW,NBA,PF,71.0,2.0,12.2,1.1,2.5,0.45799999999999996,0.0,0.1,0.14300000000000002,1.1,2.4,0.47100000000000003,0.46,0.5,0.8,0.611,0.9,1.8,2.7,0.5,0.5,0.4,0.7,2.5,2.8,https://www.basketball-reference.com//players/h/houstby01.html,0.0
1994,25.0,SEA,NBA,PF,39.0,0.0,6.6,1.3,2.7,0.45799999999999996,0.2,0.6,0.273,1.1,2.2,0.506,0.486,0.7,1.0,0.737,0.5,0.9,1.4,0.2,0.3,0.1,0.5,1.3,3.4,https://www.basketball-reference.com//players/h/houstby01.html,0.0
1995,26.0,SAC,NBA,PF,25.0,0.0,11.0,1.3,2.6,0.5,0.0,0.1,0.33299999999999996,1.2,2.4,0.508,0.508,0.8,1.0,0.8079999999999999,1.2,2.1,3.4,0.3,0.5,0.3,0.7,2.4,3.4,https://www.basketball-reference.com//players/h/houstby01.html,0.0
1992,23.0,MIN,NBA,PF,43.0,3.0,12.1,2.2,3.9,0.55,0.0,0.0,0.0,2.2,3.9,0.5539999999999999,0.55,1.0,1.6,0.643,1.5,2.3,3.8,0.3,0.3,0.4,0.9,1.7,5.4,https://www.basketball-reference.com//players/m/maxeyma01.html,0.0
1993,24.0,MIN,NBA,PF,55.0,2.0,11.4,1.6,3.0,0.5329999999999999,0.0,0.0,0.0,1.6,3.0,0.539,0.5329999999999999,1.3,1.8,0.7140000000000001,1.4,2.3,3.6,0.2,0.3,0.6,0.7,2.1,4.5,https://www.basketball-reference.com//players/m/maxeyma01.html,0.0
1993,24.0,NJN,NBA,C,79.0,54.0,24.7,2.1,5.1,0.415,0.0,0.1,0.16699999999999998,2.1,5.0,0.419,0.41700000000000004,1.5,1.9,0.757,2.4,3.9,6.2,1.2,0.9,1.2,0.9,2.2,5.7,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
1994,25.0,NJN,NBA,C,80.0,63.0,30.8,3.2,7.1,0.446,0.1,0.3,0.16699999999999998,3.1,6.8,0.45799999999999996,0.449,1.7,2.6,0.6709999999999999,2.2,3.9,6.1,1.7,0.9,1.7,1.0,3.3,8.1,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
1995,26.0,NJN,NBA,C,81.0,81.0,36.3,4.4,9.9,0.444,0.0,0.2,0.2,4.3,9.7,0.44799999999999995,0.445,2.5,3.3,0.77,2.7,4.3,6.9,2.0,1.0,1.2,1.6,3.1,11.3,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
1996,27.0,MIA,NBA,PF,80.0,71.0,32.4,3.8,8.2,0.457,0.0,0.0,0.0,3.8,8.2,0.45899999999999996,0.457,2.0,2.8,0.732,3.0,5.4,8.4,1.2,1.1,1.2,1.4,3.5,9.5,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
1997,28.0,MIA,NBA,PF,74.0,74.0,31.9,3.8,8.0,0.47100000000000003,0.0,0.0,,3.8,8.0,0.47100000000000003,0.47100000000000003,2.0,2.7,0.7659999999999999,3.2,5.4,8.6,1.4,0.9,1.3,1.3,3.6,9.6,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
1998,29.0,MIA,NBA,PF,50.0,50.0,32.2,4.6,9.5,0.48,0.0,0.0,,4.6,9.5,0.48,0.48,2.3,2.9,0.774,2.3,4.6,6.9,1.3,0.9,1.0,1.4,3.3,11.4,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
1999,30.0,MIA,NBA,PF,80.0,80.0,28.8,4.0,8.4,0.48,0.0,0.0,0.0,4.0,8.4,0.48100000000000004,0.48,1.5,2.0,0.755,2.7,4.8,7.5,1.8,0.8,0.8,1.3,3.3,9.6,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
2000,31.0,CHH,NBA,C,80.0,79.0,35.1,3.1,7.0,0.444,0.0,0.1,0.0,3.1,7.0,0.447,0.444,2.2,2.6,0.852,3.2,6.1,9.3,1.6,1.0,1.2,1.4,3.3,8.5,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
2001,32.0,CHH,NBA,C,80.0,80.0,32.0,3.1,6.6,0.474,0.0,0.0,,3.1,6.6,0.474,0.474,2.1,2.5,0.858,3.4,6.4,9.8,1.3,0.7,1.0,1.1,2.8,8.4,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
2002,33.0,NOH,NBA,PF,78.0,78.0,33.4,4.1,7.7,0.531,0.0,0.0,0.0,4.1,7.7,0.5329999999999999,0.531,2.5,3.0,0.836,3.1,5.9,9.0,1.9,0.9,1.0,1.3,2.6,10.7,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
2003,34.0,NOH,NBA,PF,80.0,80.0,34.4,4.2,8.9,0.47600000000000003,0.0,0.0,0.0,4.2,8.9,0.47700000000000004,0.47600000000000003,2.0,2.3,0.8540000000000001,3.0,5.7,8.6,1.9,1.0,0.9,1.3,2.5,10.5,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
2004,35.0,NOH,NBA,PF,82.0,78.0,34.4,4.1,9.2,0.446,0.0,0.0,,4.1,9.2,0.446,0.446,2.6,3.0,0.8640000000000001,3.2,5.7,9.0,2.2,0.9,0.6,1.2,2.8,10.8,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
2005,36.0,NOK,NBA,C,75.0,73.0,31.7,3.6,7.8,0.461,0.0,0.0,,3.6,7.8,0.461,0.461,1.9,2.2,0.8270000000000001,2.4,4.9,7.3,1.2,0.6,0.7,1.2,2.9,9.0,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
2006,37.0,CHI,NBA,PF,72.0,49.0,20.2,2.4,5.8,0.40700000000000003,0.0,0.0,0.0,2.4,5.8,0.409,0.40700000000000003,1.3,1.7,0.787,1.8,3.0,4.8,0.7,0.3,0.7,1.2,2.6,6.1,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
2007,38.0,BOS,NBA,PF,18.0,0.0,11.6,0.8,2.3,0.341,0.0,0.1,0.0,0.8,2.2,0.35,0.341,0.6,0.9,0.688,1.6,2.2,3.8,0.6,0.3,0.4,0.6,1.6,2.2,https://www.basketball-reference.com//players/b/brownpj01.html,0.0
1992,23.0,DAL,NBA,C,72.0,68.0,29.0,5.1,10.4,0.493,0.0,0.0,0.0,5.1,10.3,0.494,0.493,3.3,5.4,0.602,2.7,4.7,7.4,1.3,0.5,1.1,2.2,2.8,13.5,https://www.basketball-reference.com//players/r/rooksse01.html,0.0
1993,24.0,DAL,NBA,C,47.0,28.0,26.7,4.1,8.4,0.491,0.0,0.0,0.0,4.1,8.3,0.49200000000000005,0.491,3.2,4.5,0.7140000000000001,1.8,3.7,5.5,1.0,0.4,0.9,1.7,2.3,11.4,https://www.basketball-reference.com//players/r/rooksse01.html,0.0
1994,25.0,MIN,NBA,C,80.0,70.0,30.1,3.6,7.7,0.47,0.0,0.1,0.0,3.6,7.6,0.474,0.47,3.6,4.8,0.7609999999999999,2.1,4.0,6.1,1.2,0.4,0.9,1.8,2.6,10.9,https://www.basketball-reference.com//players/r/rooksse01.html,0.0
